tti,rnti,weight,metrics
2190175,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190176,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190176,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190180,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190180,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 512, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190181,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190181,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 512, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190182,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190182,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 5.0, ""tx_bytes"": 0.0, ""ul_buffer"": 512, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190183,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
